id,Name,Symbol,Price,Market_Cap,Volume_24h
1,Bitcoin,BTC,65870.97,1301648587456,14262741202
2,Ethereum,ETH,2667.34,321057165063,10674241533
3,Tether,USDT,1.0,119550097523,37014164592
4,BNB,BNB,598.73,87373978815,1594679365
5,Solana,SOL,157.94,74061665926,1351294414
6,XRP,XRP,0.6497,36748259824,2136360446
7,USDC,USDC,1.0,36268577280,2827484891
8,Dogecoin,DOGE,0.1266,18499900429,923628945
9,Toncoin,TON,5.85,14846097943,218520744
10,Cardano,ADA,0.4027,14072454414,175363836
11,TRON,TRX,0.1569,13594004888,244751182
12,Avalanche,AVAX,29.15,11836904390,252846186
13,Shiba Inu,SHIB,1.941e-05,11440347773,547103619
14,Chainlink,LINK,12.66,7937665986,213987204
15,Polkadot,DOT,4.81,7214586650,108526879
16,Bitcoin Cash,BCH,350.49,6928236449,169184654
17,NEAR Protocol,NEAR,5.54,6391955400,208959774
18,UNUS SED LEO,LEO,5.91,5470205357,262593
19,Dai,DAI,0.9998,5364506225,40222756
20,Litecoin,LTC,69.86,5241486320,208542447
21,Sui,SUI,1.84,4918046132,689341442
22,Pepe,PEPE,1.124e-05,4728894670,1136975470
23,Internet Computer,ICP,9.63,4539389928,65950176
24,Uniswap,UNI,7.46,4479629401,94597090
25,Bittensor,TAO,567.25,4186850102,143355829
26,Aptos,APT,8.24,4133325029,114160291
27,Artificial Superintelligence Alliance,FET,1.63,4113499797,140163300
28,Kaspa,KAS,0.1637,4062686087,30994701
29,Render,RENDER,6.69,3462516806,202852392
30,POL (ex-MATIC),POL,0.4235,3126627107,71765427
31,Ethereum Classic,ETC,20.6,3068259398,99759355
32,Stellar,XLM,0.1015,3009294672,77258212
33,Immutable,IMX,1.82,2922020333,31982850
34,Stacks,STX,1.95,2914355058,48741960
35,Monero,XMR,154.01,2841018077,61456965
36,First Digital USD,FDUSD,0.9994,2825344363,2105927345
37,OKB,OKB,42.75,2564753376,1713389
38,Filecoin,FIL,4.1,2413044462,100687823
39,Aave,AAVE,161.21,2408317285,160677672
40,Optimism,OP,1.89,2367771634,104701478
41,Arbitrum,ARB,0.6484,2345237706,177960182
42,Hedera,HBAR,0.06211,2336979890,36098493
43,dogwifhat,WIF,2.33,2322736783,331267586
44,Cronos,CRO,0.08666,2302572310,4473506
45,Injective,INJ,23.03,2250334861,62533316
46,Mantle,MNT,0.6449,2106704047,53819895
47,VeChain,VET,0.02558,2071506032,15318546
48,Cosmos,ATOM,5.09,1991808474,86388053
49,Fantom,FTM,0.6926,1941825206,145068507
50,THORChain,RUNE,5.35,1797291482,150754932
51,The Graph,GRT,0.188,1795281407,35602490
52,Sei,SEI,0.5081,1791117625,281290093
53,Bonk,BONK,2.294e-05,1623739180,196464032
54,FLOKI,FLOKI,0.000166,1592513492,222372814
55,Arweave,AR,23.32,1531196089,73167111
56,Theta Network,THETA,1.49,1490348321,20468892
57,Maker,MKR,1665.07,1466125612,44083697
58,Bitget Token,BGB,1.05,1466242781,26766702
59,Pyth Network,PYTH,0.3714,1346223146,34488868
60,Celestia,TIA,6.12,1312262132,129970144
61,Jupiter,JUP,0.9152,1235560062,72022369
62,Helium,HNT,7.63,1227891207,5733829
63,Polygon,MATIC,0.4225,1217158547,33360039
64,Lido DAO,LDO,1.34,1196473304,57742291
65,Algorand,ALGO,0.1419,1172790715,19390765
66,JasmyCoin,JASMY,0.02365,1168031074,46887262
67,Ondo,ONDO,0.8143,1131614435,432112838
68,MANTRA,OM,1.23,1037630615,13648105
69,Bitcoin SV,BSV,51.93,1026218541,29751474
70,Core,CORE,1.12,1018810946,27084746
71,Worldcoin,WLD,2.05,991640646,171455411
72,Brett (Based),BRETT,0.09898,980907693,28198547
73,KuCoin Token,KCS,8.17,962966806,879913
74,BitTorrent [New],BTT,0.069891,957698406,16189896
75,Flow,FLOW,0.6155,944506165,22574945
76,Notcoin,NOT,0.009193,942015155,182852908
77,Beam,BEAM,0.01889,934181098,11485418
78,Popcat (SOL),POPCAT,0.9393,920532614,75788792
79,Quant,QNT,75.88,916093797,10412392
80,Gala,GALA,0.02466,858966798,77941889
81,Starknet,STRK,0.4792,852846742,58460189
82,ORDI,ORDI,39.95,838966890,85899088
83,Axie Infinity,AXS,5.45,820441815,21299086
84,Wormhole,W,0.3165,816012033,63635559
85,EOS,EOS,0.5401,819325657,44765745
86,GateToken,GT,8.94,813844119,2854660
87,Nervos Network,CKB,0.01788,805325962,89630366
88,Flare,FLR,0.01638,793765327,12636917
89,MultiversX,EGLD,28.95,792268678,14619035
90,Conflux,CFX,0.178,789521245,34924067
91,Neo,NEO,10.93,771116338,20909729
92,FTX Token,FTT,2.32,762820438,235436002
93,Tezos,XTZ,0.7501,752629113,11253227
94,Ethena,ENA,0.3909,743259326,86168541
95,USDD,USDD,0.9985,734904472,2232754
96,eCash,XEC,3.691e-05,729487128,10172825
97,Akash Network,AKT,2.93,726758073,6534525
98,SATS,1000SATS,0.0003391,712063666,67229663
99,Pendle,PENDLE,4.36,704922565,45339035
100,The Sandbox,SAND,0.292,697707886,34861198
